BPLC_NM,BZSTAT_SE_NM,CLSBIZ_YMD,CRD_INFO_X,CRD_INFO_Y,DAT_UPDT_PNT,DAT_UPDT_SE,DTL_SALS_STTS_CD,DTL_SALS_STTS_NM,LAST_MDFCN_PNT,LCPMT_RTRCN_YMD,LCPMT_YMD,LCTN_AREA,LCTN_ZIP,LOTNO_ADDR,MNG_NO,OPN_ATMY_GRP_CD,ROAD_NM_ADDR,ROAD_NM_ZIP,ROBIZ_YMD,SALS_STTS_CD,SALS_STTS_NM,STOR_SE_NM,TCBIZ_BGNG_YMD,TCBIZ_END_YMD,TELNO
홈플러스 창원점,대형마트,,349554.531300316,193997.823602934,2026-04-30 22:00:15,I,1,정상영업,2024-03-04 18:19:11,,2024-03-04,30100,,경상남도 창원시 의창구 팔용동 30-3 삼성홈플러스,2024567074607500001,5670000,"경상남도 창원시 의창구 창원대로 415, 삼성홈플러스 (팔용동)",51393,,01,영업/정상,대규모점포,,,055-270-8124
GS TEH FRESH 구월용천로점,복합쇼핑몰,,174674.220592143,439719.804934686,2026-03-26 22:49:56,I,1,정상영업,2025-05-13 15:11:17,,2024-03-04,183.38,,인천광역시 남동구 구월동 69-7,2024353017907500002,3530000,,,,01,영업/정상,준대규모점포,,,
노브랜드 트레이더스 구월점,구분없음,,174074.002286488,437545.395950524,2026-03-26 22:49:56,I,1,정상영업,2024-04-29 13:04:42,,2024-03-04,661.15,,인천광역시 남동구 구월동 1549,2024353017907500001,3530000,,,,01,영업/정상,준대규모점포,,,02-380-9843
홈플러스 인천 숭의점,대형마트,,,,2026-03-26 22:48:22,I,1,정상영업,2024-03-04 11:14:32,,2024-03-04,19460.55,,인천광역시 미추홀구 숭의동 180-6,2024351057907500007,3510500,"인천광역시 미추홀구 석정로 51, 홈플러스 (숭의동)",22160,,01,영업/정상,대규모점포,,,032-719-2020
홈플러스 (주) 인하점,대형마트,,169028.062637712,438450.444079289,2026-03-26 22:48:22,I,1,정상영업,2025-01-13 17:08:25,,2024-03-04,15498,,인천광역시 미추홀구 학익동 720-16 홈플러스,2024351057907500006,3510500,"인천광역시 미추홀구 소성로 6, 홈플러스 (학익동)",22201,,01,영업/정상,대규모점포,,,
힐스에비뉴 도안2차,그 밖의 대규모점포,,229934.640252792,314591.773812606,2025-12-15 16:15:28,I,5,영업개시전,2024-02-28 16:06:42,,2024-02-28,9077.4,,대전광역시 유성구 용계동 667-4 힐스테이트 도안 2차,2024367020207500001,3670000,"대전광역시 유성구 동서대로656번길 16-32, 힐스테이트 도안 2차 (용계동)",34218,,01,영업/정상,대규모점포,,,032-677-3158
아인애비뉴 메디&라이프 복합몰,그 밖의 대규모점포,,,,2026-03-26 22:48:22,I,1,정상영업,2024-12-19 11:36:58,,2024-02-26,34492,,인천광역시 미추홀구 주안동 0 포레나 미추홀,2024351057907500005,3510500,"인천광역시 미추홀구 경인로 372 (주안동, 포레나 미추홀)",22148,,01,영업/정상,대규모점포,,,032-459-6002
GS THE FRESH 신내점,그 밖의 대규모점포,,208481.612667873,455496.980508789,2025-12-15 16:15:28,I,1,정상영업,2024-02-13 14:17:38,,2024-02-08,258.45,,서울특별시 중랑구 신내동 502-5 대명프라자,2024306020207500001,3060000,"서울특별시 중랑구 봉화산로56길 153, 대명프라자 (신내동)",02071,,01,영업/정상,준대규모점포,,,02-434-3043
GS THE FRESH 북서울숲점,구분없음,,203008.20501727,456808.972105684,2026-04-30 22:35:18,I,1,정상영업,2025-05-02 09:47:25,,2024-02-07,227.01,,"서울특별시 강북구 미아동 7-5 대지쇼핑프라자 1층 101~104호, 106호~122호",2024308019007500001,3080000,"서울특별시 강북구 오패산로30길 10, 대지쇼핑프라자 1층 101~104호, 106호~122호 (미아동)",01237,,01,영업/정상,준대규모점포,,,02-2006-2364
GS THE FRESH 대구화랑로점,대형마트,,347242.984723099,264478.808435214,2026-04-30 22:30:10,I,1,정상영업,2025-04-11 09:27:19,,2024-02-06,186.1,,대구광역시 동구 신천동 353-1,2024342020707500001,3420000,"대구광역시 동구 화랑로 33, 301동 113호~117호 (신천동)",41252,,01,영업/정상,준대규모점포,,,080-345-7700
GS THE FRESH 동래안락점,구분없음,,392347.318042647,191031.83071431,2025-12-15 16:15:28,I,1,정상영업,2025-05-02 17:38:03,,2024-02-05,214.87,,부산광역시 동래구 안락동 471-99,2024330011007500001,3300000,부산광역시 동래구 명장로127번길 6 (안락동),47770,,01,영업/정상,준대규모점포,,,051-531-3663
GS THE FRESH 신촌이대역점,그 밖의 대규모점포,,195332.123380254,450806.05844472,2026-05-06 22:37:16,I,1,정상영업,2025-04-25 13:20:39,,2024-01-31,275.04,,서울특별시 서대문구 대현동 144 신촌럭키아파트 상가동 101호,2024312021907500002,3120000,"서울특별시 서대문구 이화여대길 50-12, 상가동 1층 101호 (대현동, 신촌럭키아파트)",03764,,01,영업/정상,준대규모점포,,,
GS THE FRESH 신촌이대역점,그 밖의 대규모점포,,195332.123380254,450806.05844472,2026-05-06 22:37:16,I,1,정상영업,2024-04-26 14:11:56,,2024-01-31,275.04,,서울특별시 서대문구 대현동 144 신촌럭키아파트 상가동 101호,2024312021907500001,3120000,"서울특별시 서대문구 이화여대길 50-12, 상가동 1층 101호 (대현동, 신촌럭키아파트)",03764,,01,영업/정상,준대규모점포,,,02-2006-2364
GS THE FRESH 관악은천점,구분없음,,194553.838438621,442719.413175605,2025-12-15 16:15:28,I,1,정상영업,2025-08-01 18:01:59,,2024-01-30,162.48,,서울특별시 관악구 봉천동 952-1,2024320022507500001,3200000,"서울특별시 관악구 국회단지길 7, 1층 (봉천동)",08717,,01,영업/정상,준대규모점포,,,02-882-4458
GS THE FRESH 용현자이점,그 밖의 대규모점포,,,,2026-03-26 22:48:22,I,1,정상영업,2025-04-22 09:31:02,,2024-01-22,226.98,,인천광역시 미추홀구 용현동 0 자이타워,2024351057907500004,3510500,"인천광역시 미추홀구 독배로 383, 자이타워 (용현동)",22184,,01,영업/정상,준대규모점포,,,032-888-7314
GS THE FRESH 인천용현점,구분없음,,,,2026-03-26 22:48:22,I,5,영업개시전,2025-04-21 15:34:26,,2024-01-22,231.83,,인천광역시 미추홀구 용현동 0 미추홀프라자,2024351057907500003,3510500,"인천광역시 미추홀구 낙섬중로 138, 미추홀프라자 (용현동)",22176,,01,영업/정상,준대규모점포,,,02-2006-2364
GS THE FRESH 용현자이점,구분없음,,,,2026-03-26 22:48:22,I,5,영업개시전,2024-01-23 13:51:24,,2024-01-22,226.98,,인천광역시 미추홀구 용현동 0 자이타워,2024351057907500002,3510500,"인천광역시 미추홀구 독배로 383, 자이타워 (용현동)",22184,,01,영업/정상,준대규모점포,,,02-2006-2364
GS THE FRESH 인천용현점,구분없음,,,,2026-03-26 22:48:22,I,5,영업개시전,2024-01-23 11:17:56,,2024-01-22,231.83,,인천광역시 미추홀구 용현동 0 미추홀프라자,2024351057907500001,3510500,"인천광역시 미추홀구 낙섬중로 138, 미추홀프라자 (용현동)",22176,,01,영업/정상,준대규모점포,,,02-2206-2364
GS THE FRESH 행신사거리점,구분없음,,185099.284190187,457469.600901344,2025-12-15 16:15:28,I,1,정상영업,2025-04-23 10:59:53,,2024-01-17,337.19,,경기도 고양시 덕양구 행신동 616-1 양일빌딩,2024394044407500001,3940000,"경기도 고양시 덕양구 행신로 151, 1층 (행신동, 양일빌딩)",10517,,01,영업/정상,준대규모점포,,,031-971-0244
GS THE FRESH 대구역풍경채점,구분없음,,,,2026-05-08 22:34:09,I,1,정상영업,2025-04-11 10:25:51,,2024-01-17,136.4,,대구광역시 중구 수창동 178 대구역 제일풍경채 위너스카이,2024341016307500001,3410000,"대구광역시 중구 달성로26길 70, 상가동 106호, 108~110호 (수창동, 대구역 제일풍경채 위너스카이)",41920,,01,영업/정상,준대규모점포,,,
원그로브몰,쇼핑센터,,184449.736274095,451015.135227088,2026-03-20 22:18:11,U,1,정상영업,2026-03-19 15:04:58,,2024-01-10,45167.97,,서울특별시 강서구 마곡동 769 원그로브,2024315020007500001,3150000,"서울특별시 강서구 공항대로 165, 원그로브 (마곡동)",07800,,01,영업/정상,대규모점포,,,02-6182-2110
GS THE FRESH 부산레이카운티점,복합쇼핑몰,,388241.263983196,189548.920435228,2026-05-04 22:36:26,I,1,정상영업,2025-08-25 13:05:47,,2024-01-08,452.45,,부산광역시 연제구 거제동 802,2024337013407500001,3370000,"부산광역시 연제구 아시아드대로 39, 레이카운티 2단지 상가동 1층 101호 (거제동)",47529,,01,영업/정상,준대규모점포,,,051-507-1993
넥스트커넥트피에프브이 (주)이스트폴 판매시설,쇼핑센터,,207770.197118183,448131.0613924,2025-12-15 16:15:28,I,1,정상영업,2025-09-03 16:30:07,,2024-01-05,34138.84,,서울특별시 광진구 자양동 680-63 판매시설,2024304019007500001,3040000,"서울특별시 광진구 아차산로 402, 판매시설 (자양동)",05050,,01,영업/정상,대규모점포,,,02-444-8604
GS THE FRESH 노원캐슬점,구분없음,,206799.020098051,462509.638445514,2025-12-15 16:15:28,I,1,정상영업,2025-04-23 08:57:38,,2024-01-02,158.34,,서울특별시 노원구 상계동 95-3,2024310018407500001,3100000,"서울특별시 노원구 덕릉로 753, 노원롯데캐슬시그니처아파트 근린생활시설 2동 16,17호 (상계동)",01640,,01,영업/정상,준대규모점포,,,
가산퍼블릭 상업시설,그 밖의 대규모점포,,189930.50790426,441616.460710064,2026-05-07 22:30:13,I,1,정상영업,2025-01-09 10:55:08,,2023-12-29,18020,,서울특별시 금천구 가산동 60-26,2023317025707500001,3170000,서울특별시 금천구 디지털로 178 (가산동),08513,,01,영업/정상,대규모점포,,,02-422-0310
GS THE FRESH 강서증미역점,구분없음,,188237.941732745,450314.08791281,2025-12-15 16:15:28,I,1,정상영업,2023-12-29 09:08:19,,2023-12-28,673.32,,서울특별시 강서구 염창동 242-11 한희빌딩,2023315020007500003,3150000,"서울특별시 강서구 양천로67길 15, 한희빌딩 1층 (염창동)",07545,,01,영업/정상,준대규모점포,,,02-3662-4171
평택고덕2차아이파크,쇼핑센터,,206062.586095977,392749.494890103,2026-04-09 03:03:03,U,1,정상영업,2026-04-08 11:05:01,,2023-12-27,23840.71,,경기도 평택시 장당동 153-1,2023391041807500003,3910000,,,,01,영업/정상,대규모점포,,,031-668-9372
롯데슈퍼,그 밖의 대규모점포,,256883.571774541,187744.995324822,2026-04-01 22:03:21,U,1,정상영업,2026-07-15 11:04:57,,2023-12-20,654.54,,경상남도 하동군 화개면 탑리 763-2,2023544022207500001,5440000,"경상남도 하동군 화개면 섬진강대로 4028, 지하층 B101호",52303,,01,영업/정상,준대규모점포,,,055-882-8820
GS THE FRESH 해운대동부점,구분없음,,398320.448936443,188713.364513609,2026-05-10 22:54:16,I,1,정상영업,2025-05-20 18:21:03,,2023-12-19,190,,부산광역시 해운대구 좌동 1412 동부아파트,2023333020707500001,3330000,"부산광역시 해운대구 세실로 158, 상가동 1층 103호 (좌동, 동부아파트)",48076,,01,영업/정상,준대규모점포,,,051-703-7666
아인애비뉴 메디&라이프 복합몰,그 밖의 대규모점포,,,,2026-03-26 22:48:22,I,1,정상영업,2024-02-21 17:51:41,,2023-12-18,6472.96,,인천광역시 미추홀구 주안동 0 포레나 미추홀,2023351057907500006,3510500,"인천광역시 미추홀구 경인로 372 (주안동, 포레나 미추홀)",22148,,01,영업/정상,대규모점포,,,032-459-6002
GS THE FRESH 광안역점,구분없음,,392568.787551499,186329.071303209,2025-12-15 16:15:28,I,1,정상영업,2024-04-11 16:13:50,,2023-12-18,244.07,,부산광역시 수영구 광안동 145-3 대왕빌딩,2023338009407500001,3380000,"부산광역시 수영구 수영로582번길 19, 대왕빌딩 (광안동)",48297,,01,영업/정상,준대규모점포,,,
GS THE FRESH 평택고덕점,구분없음,,204166.817716298,394301.558793892,2025-12-15 16:15:28,I,1,정상영업,2025-04-18 17:37:18,,2023-12-08,277,,경기도 평택시 고덕동 1956-1,2023391041807500002,3910000,"경기도 평택시 고덕국제3길 143, 101호 (고덕동)",18014,,01,영업/정상,준대규모점포,,,031-667-6479
GS THE FRESH 송파석촌호수점,구분없음,,208648.850084121,444767.440404014,2025-12-15 16:15:28,I,1,정상영업,2025-05-08 11:12:20,,2023-12-07,197.2,,서울특별시 송파구 석촌동 5-8,2023323029107500003,3230000,서울특별시 송파구 백제고분로33길 25 (석촌동),05612,,01,영업/정상,준대규모점포,,,
시민마트,대형마트,,212367.118425352,456712.576784184,2025-12-15 16:15:28,I,1,정상영업,2023-12-04 14:24:26,,2023-12-04,18408.86,,경기도 구리시 인창동 430 구리유통종합상가,2023398012907500001,3980000,"경기도 구리시 동구릉로136번길 57, 구리유통종합상가 A동 (인창동)",11915,,01,영업/정상,대규모점포,,,031-513-6001
노브랜드 스타필드수원점,구분없음,,,,2026-03-11 01:45:42,U,1,정상영업,2026-07-15 17:20:03,,2023-11-21,727.43,,경기도 수원시 장안구 정자동 978,2023374039007500006,3740000,경기도 수원시 장안구 수성로 175 (정자동),16318,,01,영업/정상,준대규모점포,,,02-380-9706
GS THE FRESH 부산하버시티점,구분없음,,387392.843756885,183422.443232763,2025-12-15 16:15:28,I,1,정상영업,2024-01-19 19:33:23,,2023-11-21,153,,부산광역시 동구 좌천동 68-164,2023327013907500001,3270000,"부산광역시 동구 성남이로 25, 1층 (좌천동)",48754,,01,영업/정상,준대규모점포,,,051-635-3004
GS THE FRESH 부산가야점,구분없음,,385962.216302965,186038.510981912,2025-12-15 16:15:28,I,1,정상영업,2024-01-08 10:28:28,,2023-11-20,619,,부산광역시 부산진구 당감동 109-4 금호그랜드타운,2023329016907500001,3290000,"부산광역시 부산진구 가야대로 635-12, 1층 (당감동, 금호그랜드타운)",47275,,01,영업/정상,준대규모점포,,,
지에스 더 프레시 이매역점,그 밖의 대규모점포,,211075.414504468,432554.577507596,2025-12-15 16:15:28,I,1,정상영업,2025-05-13 16:52:00,,2023-11-08,264,,경기도 성남시 분당구 이매동 115-2 이수프라자,2023378033407500001,3780000,"경기도 성남시 분당구 이매로 45, 이수프라자 (이매동)",13567,,01,영업/정상,준대규모점포,,,02-2006-2678
GS THE FRESH 동작구청점,구분없음,,194870.38438442,444631.112679216,2026-05-03 22:37:51,I,1,정상영업,2025-10-07 13:57:07,,2023-11-01,539.78,,서울특별시 동작구 상도동 535 상도2차두산위브트레지움아파트,2023319027107500001,3190000,"서울특별시 동작구 상도로30길 40, 판매/근생시설동 1층 125~131호 (상도동, 상도2차두산위브트레지움아파트)",06964,,01,영업/정상,준대규모점포,,,02-2006-2364
(주) 스타필드 수원,복합쇼핑몰,,,,2026-07-30 21:48:10,U,1,정상영업,2026-07-29 10:16:45,,2023-10-30,103145.33,,경기도 수원시 장안구 정자동 978,2023374039007500005,3740000,경기도 수원시 장안구 수성로 175 (정자동),16318,,01,영업/정상,대규모점포,,,02-6921-1638
인스파이어 인티그레이티드 리조트,쇼핑센터,,,,2026-07-01 09:22:38,I,1,정상영업,2025-12-05 16:54:29,,2023-10-27,81176.59,,인천광역시 영종구 운서동 2955,2023349019107500001,3491000,인천광역시 영종구 용유로 700 (운서동),22382,,01,영업/정상,대규모점포,,,032-717-0207
GS THE FRESH 인천주안점,그 밖의 대규모점포,,171496.759700802,439044.001071504,2026-03-26 22:48:22,I,1,정상영업,2025-04-30 13:39:51,,2023-10-16,183.61,,인천광역시 미추홀구 주안동 1452-2 힐스테이트 푸르지오 주안,2023351057907500003,3510500,"인천광역시 미추홀구 남주길 150 (주안동, 힐스테이트 푸르지오 주안)",22159,,01,영업/정상,준대규모점포,,,032-874-8121
스타필드 창원,복합쇼핑몰,,347646.533693363,196223.110487206,2026-04-30 22:00:15,I,5,영업개시전,2023-10-11 17:22:37,,2023-10-11,73115.91,,경상남도 창원시 의창구 중동 792,2023567074607500001,5670000,,,,01,영업/정상,대규모점포,,,02-6921-1681
GS THE FRESH 부천범박점,구분없음,,183358.662578028,441230.476103089,2025-12-15 16:15:28,I,1,정상영업,2025-04-17 15:04:38,,2023-09-22,288.32,,경기도 부천시 소사구 범박동 210-1 보광빌딩,2023386055507500001,3860000,"경기도 부천시 소사구 양지로 88, 보광빌딩 1층 (범박동)",14783,,01,영업/정상,준대규모점포,,,
GS THE FRESG 서울숲점,구분없음,,203841.225547969,449475.540141228,2026-05-07 22:31:41,I,1,정상영업,2025-04-24 09:29:58,,2023-09-14,158.8,,서울특별시 성동구 성수동1가 656-1208 성수만세주유소,2023303010307500004,3030000,"서울특별시 성동구 왕십리로 109, 성수만세주유소 1층 (성수동1가)",04768,,01,영업/정상,준대규모점포,,,02-499-4519
강현농협 하나로마트,그 밖의 대규모점포,,340693.912244024,517983.699145683,2025-12-15 16:15:28,I,1,정상영업,2024-06-14 10:28:02,,2023-09-13,3276.22,,강원특별자치도 양양군 강현면 물치리 126-11,2023435100907500001,4351000,강원특별자치도 양양군 강현면 물치천로 14,25061,,01,영업/정상,대규모점포,,,033-671-5810
화곡 더리브스카이,그 밖의 대규모점포,,,,2025-12-15 16:15:28,I,1,정상영업,2025-08-22 11:09:12,,2023-09-07,3015,,서울특별시 강서구 화곡동 1175 화곡 더리브 스카이,2023315020007500002,3150000,"서울특별시 강서구 가로공원로80길 40 (화곡동, 화곡 더리브 스카이)",07765,,01,영업/정상,대규모점포,,,
홈플러스 익스프레스 수원이의점,구분없음,2023-09-06,206015.94202382,421207.585789711,2026-03-11 01:45:42,I,3,폐업처리,2023-09-06 13:04:35,,2023-09-05,0,,경기도 수원시 영통구 하동 983-4,2023374039007500004,3740000,경기도 수원시 영통구 광교중앙로266번길 20 (하동),16512,,03,폐업,준대규모점포,,,031-214-8542
(주)이마트에브리데이 영등포구청점,구분없음,,,,2026-05-11 22:40:07,I,1,정상영업,2024-08-27 16:48:04,,2023-09-05,1075.83,,서울특별시 영등포구 당산동2가 165 한화포레나당산,2023318025507500002,3180000,"서울특별시 영등포구 당산로 83, 지하 102~103호 (당산동2가, 한화포레나당산)",07264,,01,영업/정상,준대규모점포,,,02-380-5042
GS THE FRESH 장유신문점,구분없음,,364926.532307183,189762.181181905,2025-12-15 16:15:28,I,1,정상영업,2024-02-12 10:58:29,,2023-08-24,528.5,,경상남도 김해시 신문동 1283-3,2023535033007500001,5350000,경상남도 김해시 장유로334번길 58 (신문동),51001,,01,영업/정상,준대규모점포,,,
롯데프레시 청주지웰가맹점,구분없음,,238310.202218021,349177.645947792,2026-05-06 22:48:33,I,1,정상영업,2024-08-06 17:37:34,,2023-08-02,489.58,,충청북도 청주시 흥덕구 복대동 3381,2023571023607500001,5710000,"충청북도 청주시 흥덕구 대농로 47-1, 지웰시티2몰 지하1층 (복대동)",28425,,01,영업/정상,준대규모점포,,,
GS THE FRESH 성동텐즈힐점,구분없음,,202113.869605464,451897.581865192,2026-05-07 22:31:41,I,1,정상영업,2025-04-18 09:36:02,,2023-07-21,327.3,,서울특별시 성동구 상왕십리동 811 텐즈힐,2023303010307500003,3030000,"서울특별시 성동구 마장로 137, 221동 1층 1230호,1231호,1232(일부)호 (상왕십리동, 텐즈힐)",04700,,01,영업/정상,준대규모점포,,,02-2297-5180
더샵 온천헤리티지스퀘어,그 밖의 대규모점포,,389539.18205554,193427.379866164,2025-12-15 16:15:28,I,1,정상영업,2024-01-10 09:29:14,,2023-07-19,10524.19,,부산광역시 동래구 온천동 147-6 더샵 온천헤리티지,2023330011007500002,3300000,"부산광역시 동래구 온천장로119번길 56 (온천동, 더샵 온천헤리티지)",47708,,01,영업/정상,대규모점포,,,051-552-0256
(주) 이마트 광명소하점,대형마트,,189714.449800306,438279.937828733,2025-12-15 16:15:28,I,1,정상영업,2024-05-20 14:06:40,,2023-07-03,14847.87,423-051,경기도 광명시 소하1동 1339번지 3호,2010390012307500001,3900000,경기도 광명시 소하로 97 (소하동),,,01,영업/정상,대규모점포,,,02-6918-1234
GS THE FRESH 루원리더스뷰점,그 밖의 대규모점포,,,,2026-07-01 13:36:35,I,1,정상영업,2025-04-18 13:52:07,,2023-06-29,368.51,,인천광역시 서해구 가정동 0 루원시티2차 SK Leaders' VIEW,2023356022207500002,3561000,"인천광역시 서해구 봉오대로 270, 302동 B239~B245호 (가정동, 루원시티2차 SK Leaders' VIEW)",22776,,01,영업/정상,준대규모점포,,,02-2006-2747
대하식자재마트 천안점,대형마트,,210350.365980618,366539.832359485,2025-12-15 16:15:28,I,1,정상영업,2023-09-05 13:14:57,,2023-06-21,8316.34,,충청남도 천안시 서북구 쌍용동 1367,2023449037507500001,4490000,충청남도 천안시 서북구 월봉로 95 (쌍용동),31171,,01,영업/정상,대규모점포,,,041-571-0300
GS THE FRESH 성동센트라스점,구분없음,,202372.912023599,451536.680876573,2026-05-07 22:31:41,I,1,정상영업,2023-11-03 09:43:47,,2023-06-16,467.23,,서울특별시 성동구 하왕십리동 1070 센트라스,2023303010307500002,3030000,"서울특별시 성동구 왕십리로 410, 상가(L)동 지하1층 B102,B103호 (하왕십리동, 센트라스)",04701,,01,영업/정상,준대규모점포,,,
GS THE FRESH 성동센트라스점,구분없음,,202372.912023599,451536.680876573,2026-05-07 22:31:41,I,4,직권취소,2023-06-20 09:18:09,,2023-06-16,467.23,,서울특별시 성동구 하왕십리동 1070 센트라스상가 L동 B102호,2023303010307500001,3030000,"서울특별시 성동구 왕십리로 410, L동 지하1층 B102, B103호 (하왕십리동, 센트라스)",04701,,04,취소/말소/만료/정지/중지,준대규모점포,,,
(주)이마트 트레이더스 구월점,대형마트,,174074.002286488,437545.395950524,2026-03-26 22:49:56,I,1,정상영업,2024-04-29 13:03:56,,2023-06-12,19686.36,,인천광역시 남동구 구월동 1549,2023353017907500001,3530000,,,,01,영업/정상,대규모점포,,,02-380-9843
롯데마켓 999 하월곡점,구분없음,2024-04-08,203353.798850162,455765.417145198,2025-12-15 16:15:28,I,3,폐업처리,2025-01-22 17:55:54,,2023-06-08,80.49,,서울특별시 성북구 하월곡동 62-1,2023307029907500003,3070000,서울특별시 성북구 오패산로4길 17 (하월곡동),02751,,03,폐업,준대규모점포,,,02-918-5651
GS THE FRESH 사하괴정점,구분없음,,381587.478183894,179459.905749702,2026-05-07 22:31:33,I,1,정상영업,2023-06-01 17:21:30,,2023-06-01,372.16,,부산광역시 사하구 괴정동 879,2023334014507500001,3340000,"부산광역시 사하구 낙동대로233번길 35, 1층 (괴정동)",49381,,01,영업/정상,준대규모점포,,,051-203-5494
GS THE FRESH 문래점,구분없음,,189825.743146319,446574.176568125,2026-05-11 22:40:07,I,1,정상영업,2025-05-07 10:04:32,,2023-05-25,203.2,,서울특별시 영등포구 문래동6가 33,2023318025507500001,3180000,"서울특별시 영등포구 문래북로 8, 1층 101~106호 (문래동6가)",07280,,01,영업/정상,준대규모점포,,,02-2006-2676
롯데슈퍼(주) 롯데슈퍼 합천점,쇼핑센터,,305136.426578472,229969.058372692,2026-04-25 03:03:03,U,1,정상영업,2026-04-24 17:50:25,,2023-05-17,849.1,,경상남도 합천군 합천읍 합천리 698,2023548011807500001,5480000,경상남도 합천군 합천읍 충효로 39,50236,,01,영업/정상,준대규모점포,,,055-931-5601
GS THE FRESH 울산전하점,구분없음,,420080.091538466,226797.196800317,2026-05-06 22:48:27,I,1,정상영업,2025-05-13 15:17:24,,2023-05-15,194.5,,울산광역시 동구 전하동 302-74 우주빌딩,2023371013607500001,3710000,"울산광역시 동구 바드래길 98, 우주빌딩 (전하동)",44035,,01,영업/정상,준대규모점포,,,
GS THE FRESH 안동강변점,구분없음,,356719.772420448,340829.538076125,2026-03-11 01:24:08,I,1,정상영업,2025-04-30 20:35:34,,2023-05-04,247.3,,경상북도 안동시 용상동 1517-155,2023507017807500001,5070000,경상북도 안동시 중평길 107-27 (용상동),36719,,01,영업/정상,준대규모점포,,,
지에스더프레시(GS THE FRESH) 수원한일타운점,구분없음,,200677.578238738,422613.876922536,2026-03-11 01:45:42,I,1,정상영업,2025-05-01 17:04:10,,2023-05-04,298.5,,경기도 수원시 장안구 조원동 881 수원 한일타운,2023374039007500003,3740000,"경기도 수원시 장안구 경수대로976번길 22 (조원동, 수원 한일타운)",16295,,01,영업/정상,준대규모점포,,,02-2006-2678
지에스리테일(수원센트럴점),구분없음,,201942.305670572,418720.35220815,2026-03-11 01:45:42,I,1,정상영업,2025-05-01 17:05:14,,2023-05-04,248,,경기도 수원시 팔달구 인계동 865-10 인계 파밀리에,2023374039007500002,3740000,"경기도 수원시 팔달구 세지로 211 (인계동, 인계 파밀리에)",16475,,01,영업/정상,준대규모점포,,,02-2006-2678
롯데쇼핑(주)롯데슈퍼 인하대점,복합쇼핑몰,,169860.034040713,438759.181290214,2026-04-21 03:03:03,U,1,정상영업,2026-04-20 14:55:49,,2023-05-02,165,,인천광역시 미추홀구 용현동 92-17,2023351057907500002,3510500,인천광역시 미추홀구 인하로 107 (용현동),22208,,01,영업/정상,준대규모점포,,,
GS THE FRESH 부산 명륜점,구분없음,2024-05-17,389897.081046203,192781.060821037,2025-12-15 16:15:28,I,3,폐업처리,2024-05-17 13:23:15,,2023-04-21,621.7,,부산광역시 동래구 명륜동 9-2,2023330011007500001,3300000,"부산광역시 동래구 시실로24번길 5, 101호 (명륜동)",47744,,03,폐업,준대규모점포,,,
이마트에브리데이 길음점,구분없음,,201912.435615622,455775.861032353,2025-12-15 16:15:28,I,5,영업개시전,2023-04-20 09:38:33,,2023-04-18,828.69,,서울특별시 성북구 길음동 1286-10 길음뉴타운9단지래미안 상가,2023307029907500002,3070000,"서울특별시 성북구 길음로7길 6, 길음뉴타운9단지래미안 상가 지하1층 B04~B08호 (길음동)",02721,,01,영업/정상,준대규모점포,,,02-380-5042
이마트에브리데이 길음점,그 밖의 대규모점포,,201912.435615622,455775.861032353,2025-12-15 16:15:28,I,1,정상영업,2025-01-22 18:07:54,,2023-04-18,828.69,,서울특별시 성북구 길음동 1286-10 길음뉴타운9단지래미안 상가,2023307029907500001,3070000,"서울특별시 성북구 길음로7길 6, 길음뉴타운9단지래미안 상가 지하1층 B04~B08호 (길음동)",02721,,01,영업/정상,준대규모점포,,,02-380-5042
느티나무마트,대형마트,,206535.42430122,422654.398675024,2026-04-01 22:14:13,I,1,정상영업,2023-12-19 09:43:12,,2023-04-17,4305.19,,경기도 용인시 수지구 상현동 166-8,2023405053807500001,4050000,,,,01,영업/정상,대규모점포,,,031-265-3555
포레나 전주 에코시티 판매시설,그 밖의 대규모점포,,211582.97213836,263890.316119111,2025-12-15 16:15:28,I,5,영업개시전,2023-04-14 11:18:10,,2023-04-12,15400.23,,전북특별자치도 전주시 덕진구 송천동2가 1313 포레나 전주 에코시티,2023464055507500001,4641000,"전북특별자치도 전주시 덕진구 세병로 21 (송천동2가, 포레나 전주 에코시티)",55148,,01,영업/정상,대규모점포,,,063-276-8163
GS THE FRESH 중랑망우점,그 밖의 대규모점포,,209579.542671166,455549.589368255,2025-12-15 16:15:28,I,1,정상영업,2025-04-16 20:03:21,,2023-04-04,151.47,,서울특별시 중랑구 망우동 580 중랑숲금호어울림,2023306020207500001,3060000,"서울특별시 중랑구 양원역로 18, 103~106호 (망우동, 중랑숲금호어울림)",02063,,01,영업/정상,준대규모점포,,,
아쿠아펫랜드,그 밖의 대규모점포,,171450.600413716,425422.79435828,2026-05-11 22:05:13,I,1,정상영업,2023-04-03 15:02:56,,2023-04-03,44052.4,,경기도 시흥시 정왕동 2684 아쿠아펫랜드,2023401031707500001,4010000,"경기도 시흥시 거북섬북로 54, 아쿠아펫랜드 (정왕동)",15119,,01,영업/정상,대규모점포,,,070-7773-5390
